"Player Id","Ign","Team"
24135,"ACE","Seneca Esports Red"
18335,"AceBlazeThe3rd","ZERO LAG"
20989,"Acedia","5 Freaks Esports"
28229,"ACE G1bi",""
28233,"ACE G1bi","ACE eSports"
28232,"ACE iWy","ACE eSports"
28226,"ACE iWy",""
28227,"ACE Jinker",""
28231,"ACE Jinker",""
9335,"Acel","Monkhas eSports"
5075,"Acelboy","TEAM WAR"
11997,"Acelelelel","Redsharks"
21012,"AceMax","Power Rangers EU"
27224,"ACE Moonlight","Ace Esports Female"
22658,"Acen","Runaway"
14850,"ACEONEFLOW",""
28230,"ACE r1zvaN","ACE eSports"
28228,"ACE r1zvaN (deleted)",""
26320,"Acerphoenix","F7 Esports"
15399,"acervus","AD Infinitum REVITALIZE"
31048,"Aces","Gaslight Gatekeep Girlboss"
28968,"AceStaRRRRR","NS Esports"
1863,"Acetics","Sharper Esports"
7700,"acetwo","ValoTeleTubbies"
20727,"acetwothree","Rowan University"
32412,"aceu","Hype Boy"
26252,"acez","NFT Clan"
27303,"AceZer0","Squad of Aces"
20798,"ache","banana boys"
15654,"achilles","Second Chance"
2603,"Achilles","Purple Mood E-Sport"
6782,"Achin0",""
22715,"Achinth","Anime Aimers (IND)"
23015,"ACHRF","Onyx Ravens"
25209,"Acid","2inch"
130,"Acid","AD Razgon"
11301,"ACIDKCSGO","Clube Alcateia E-Sports"
33046,"acids","Oths Falcons"
6433,"acids","MEW2"
21417,"ackerman","CBDR"
20970,"Ackerman","savage.gg"
1054,"Aclx","KunPenG"
7908,"acm","SPARX MIX"
6623,"AcMe","CNJ Esports"
866,"Acnologia","run it down mid"
4363,"aco","Bad Company Esports"
13202,"Aconite","Quimera GG"
21779,"ACON salty","Aconitum"
9896,"Acoric","Team Coxlong"
29616,"acorn","Akron Esports"
24407,"acoustic","Boomerz and Zoomers"
7694,"acr0nym","DELUSIONAL 5"
12806,"acra","Evenate Gaming"
5164,"ACrazyPotato","ESPE GANG"
22590,"acrian","Nearest Airport"
23042,"acro","Team ZeN"
26089,"acrø","Deviant Black"
8572,"Acronix","Orange Juice Gaming"
8186,"ACROSS","Team Credit"
9248,"Act",""
8721,"Acti","Mean Girls"
2493,"ACTiV","Team Orange Gaming"
1450,"ActiveShooter",""
17767,"AcTivGhostz","ILG JADE"
22668,"AcTivv","Vx"
25761,"acts","Vizion"
28237,"acts (deleted)",""
11599,"Actually",""
