"Ign","Team","Damage"
"Skyfull","DeToNator (ex)","8989"
"invy","Oasis Gaming (ex)","8940"
"Lily","EVA:e","8679"
"Akame","K2 eSports (ex)","8629"
"Xiaonuo","DeToNator","8545"
"Blas","NAOS Esports","8477"
"Danielesflo","FUSION (ex)","8456"
"Marmelo","Jadeite","8437"
"Marky","Oasis Gaming","8378"
"LEXY","Bleed Esports (si)","8363"
"FifTy","DeToNator","8237"
"Solution","FUSION (ex)","8042"
"arm1e","EVA:e (ex)","8040"
"Wild0reoo","Oasis Gaming","8018"
"Purp0","Acend (si)","7948"
"DippER","VPZ (ex)","7923"
"HellFull","FUSION (ex)","7893"
"Neal X","Insomnia (ex)","7823"
"Jan","Next eSports","7668"
"Haxball","VPZ","7653"
"EROC","EVA:e (ex)","7633"
"AlKawai","Insomnia (ex)","7633"
"Wonjina","Next eSports","7628"
"Junseo","Next eSports","7347"
"Lumo","Insomnia (ex)","7251"
"munghoon","VPZ","7192"
"SSeeS","DetonatioN Gaming White (ex)","7110"
"Kei","looking for a name","6866"
"Wenty","Tartarus (si)","6858"
"hatty","ややーず (ex)","6629"
"RIA","ややーず (ex)","6608"
"AztKk","FUSION (ex)","6550"
"JREXXX","Insomnia (ex)","6423"
"xeta","Cloud9 (si)","6413"
"Paint","Insomnia (ex)","6195"
"CyderX","BBL Esports (si)","6057"
"Twinte","looking for a name (ex)","5796"
"ParkJJong","Tartarus (si)","5730"
"Leazo","9z Team","5589"
"Life","EDward Gaming (ex)","5455"
