"Ign","Team","Agent","Picks","Matches","Percentage"
"SUYGETSU","FunPlus Phoenix (ex)","Killjoy",12,85,"14.12"
"Jamppi","Team Liquid","Breach",12,75,"16.00"
"frz","MIBR","Chamber",12,17,"70.59"
"KimGyuTae","Desperado","Jett",12,15,"80.00"
"feqew","OG LDN UTD (ex)","Chamber",12,21,"57.14"
"Chronicle","M3 Champions (ex)","Brimstone",11,81,"13.58"
"Luke","World Game Star","Killjoy",11,54,"20.37"
"JinboongE","HolyMolly (ex)","KAY/O",11,26,"42.31"
"Redgar","M3 Champions","Omen",11,81,"13.58"
"s0m","NRG Esports","Raze",11,39,"28.21"
"Puleule","9z Team","Omen",11,39,"28.21"
"Boaster","FNATIC","Astra",11,69,"15.94"
"Shyy","Leviatán","Skye",11,36,"30.56"
"Bangnan","DAMWON Gaming (ex)","KAY/O",11,28,"39.29"
"DaeGi","Tartarus (ex)","Jett",11,14,"78.57"
"T3xture","DAMWON Gaming (ex)","Raze",11,56,"19.64"
"BlackWiz","NORTHEPTION","Omen",11,40,"27.50"
"JohnOlsen","FULL SENSE","Jett",11,11,"100.00"
"Alfajer","FNATIC","Killjoy",11,45,"24.44"
"Klaus","KRÜ Esports","Cypher",11,73,"15.07"
"Saadhak","LOUD","Skye",11,67,"16.42"
"Apoth","Evil Geniuses","Viper",11,23,"47.83"
"pr0xy","Spear Gaming (ex)","Chamber",11,30,"36.67"
"Hermes","HolyMolly (ex)","Astra",11,26,"42.31"
"v1xen","Ninjas in Pyjamas (ex)","Viper",11,24,"45.83"
"valyn","The Guard (ex)","Brimstone",11,110,"10.00"
"Mistic","FNATIC (ex)","Skye",11,69,"15.94"
"v1nNy","Gamelanders Blue (ex)","Sova",11,15,"73.33"
"Lakia","IGZIST (ex)","Sova",11,19,"57.89"
"vanity","Cloud9","Viper",11,47,"23.40"
"Esperanza","DAMWON Gaming","Skye",11,58,"18.97"
"TENNN","ZETA DIVISION","Skye",11,63,"17.46"
"Xeppaa","Cloud9","Raze",11,47,"23.40"
"tehbotol","BOOM Esports (ex)","Viper",11,45,"24.44"
"Jeong Hi","Maru Gaming (ex)","Brimstone",11,32,"34.38"
"vickt0r","Movistar Optix","Sova",11,27,"40.74"
"roseaufy","Persija Esports","Sova",11,16,"68.75"
"JhoW","Keyd Stars (ex)","Sage",11,25,"44.00"
"LOB","FAV gaming","Sage",11,23,"47.83"
"maxie","Bleed Esports (ex)","Viper",11,37,"29.73"
"soulcas","Team Liquid","Skye",11,75,"14.67"
"Holbreak","EBRO Gaming (ex)","Skye",11,11,"100.00"
"keznit","KRÜ Esports (ex)","Jett",11,70,"15.71"
"Nyang","Gamelanders Blue","Astra",11,24,"45.83"
"Zellsis","Version1 (Inactive) (ex)","KAY/O",11,21,"52.38"
"Zest","DRX","Sage",11,91,"12.09"
"FNS","OpTic Gaming (ex)","Fade",11,111,"9.91"
"Sylvan","World Game Star","Viper",11,59,"18.64"
"Boaster","FNATIC","KAY/O",11,69,"15.94"
"Boaster","FNATIC","Viper",11,69,"15.94"
"valyn","The Guard","Brimstone",11,110,"10.00"
"cauanzin","Ninjas in Pyjamas (ex)","Sage",11,66,"16.67"
"BcJ","XSET (ex)","Omen",11,66,"16.67"
"zekken","XSET (ex)","KAY/O",11,66,"16.67"
"d4v41","Paper Rex","Skye",11,61,"18.03"
"Chronicle","M3 Champions (ex)","Brimstone",11,81,"13.58"
"Lok1","CERBERUS Esports (ex)","Astra",10,15,"66.67"
"L1NK","Team Liquid (ex)","Astra",10,38,"26.32"
"Jady","Natus Vincere (ex)","KAY/O",10,13,"76.92"
"Mizu","9z Team","Jett",10,37,"27.03"
"Izzy","SuperMassive","Jett",10,11,"90.91"
"GODLIKE","World Game Star (ex)","Jett",10,57,"17.54"
"LAMMYSNAX","FULL SENSE (ex)","Sova",10,11,"90.91"
"Unnsto","EBRO Gaming (ex)","Sova",10,11,"90.91"
"Twisten","BIG (ex)","Jett",10,25,"40.00"
"HANN","World Game Star","Chamber",10,56,"17.86"
"Harry","HolyMolly","Killjoy",10,26,"38.46"
"RHZ","Keyd Stars (ex)","Sova",10,29,"34.48"
"Shao","FunPlus Phoenix (ex)","Astra",10,95,"10.53"
"Lmemore","Onic Esports (ex)","Viper",10,38,"26.32"
"SUTHER","9z Team (ex)","Killjoy",10,32,"31.25"
"ShahZaM","Sentinels (ex)","Breach",10,38,"26.32"
"xand","Ninjas in Pyjamas (ex)","Raze",10,66,"15.15"
"SEVERiNE","Onic Esports (ex)","Viper",10,38,"26.32"
"Luke","World Game Star","Reyna",10,54,"18.52"
"Monyet","Onic Esports (ex)","Neon",10,38,"26.32"
"MaKo","DRX","Brimstone",10,91,"10.99"
"Sacy","LOUD (ex)","Breach",10,67,"14.93"
"matheuzin","TBK Esports","Killjoy",10,38,"26.32"
"MatiS","EBRO Gaming (ex)","Jett",10,11,"90.91"
"koldamenta","Guild Esports","Brimstone",10,54,"18.52"
"mazin","FURIA","Viper",10,49,"20.41"
"poem","IGZIST","Breach",10,19,"52.63"
"Meddo","G2 Esports (Inactive) (ex)","Breach",10,57,"17.54"
"keznit","KRÜ Esports (ex)","KAY/O",10,70,"14.29"
"Fuzari","Gamelanders Blue (ex)","Viper",10,24,"41.67"
"ryotzz","TBK Esports","Sova",10,38,"26.32"
"Melser","Leviatán (ex)","Viper",10,71,"14.08"
"Astell","Crazy Raccoon","Viper",10,40,"25.00"
"Meteor","NORTHEPTION (ex)","Chamber",10,40,"25.00"
"mindfreak","Paper Rex","Brimstone",10,61,"16.39"
"feqew","LDN UTD (ex)","Jett",10,12,"83.33"
"soulcas","Team Liquid","Astra",10,75,"13.33"
"Felix","HolyMolly (ex)","Sova",10,26,"38.46"
"prince","Los Grandes (ex)","Breach",10,19,"52.63"
"neth","Crazy Raccoon","Omen",10,40,"25.00"
"RgLMeister","Keyd Stars (ex)","Omen",10,29,"34.48"
"trent","The Guard","Fade",10,55,"18.18"
"chase","Gamelanders Blue (ex)","KAY/O",10,24,"41.67"
"Famouz","Persija Esports (ex)","Raze",10,16,"62.50"
"Cloud","Natus Vincere (ex)","Sova",10,35,"28.57"
"neth","Crazy Raccoon","Killjoy",10,40,"25.00"
"BlackWiz","NORTHEPTION","Viper",10,40,"25.00"
"Mistic","FNATIC (ex)","Viper",10,69,"14.49"
"Jinggg","Paper Rex","Reyna",10,61,"16.39"
"crashies","OpTic Gaming (ex)","Fade",10,111,"9.01"
"CTC","Los Grandes (ex)","Raze",10,19,"52.63"
"Exy","DAMWON Gaming","Omen",10,58,"17.24"
"xnfri","NORTHEPTION (ex)","Chamber",10,40,"25.00"
"Zander","Version1 (Inactive) (ex)","Astra",10,21,"47.62"
"dapr","Sentinels (ex)","Viper",10,38,"26.32"
"TS","On Sla2ers (ex)","Skye",10,49,"20.41"
"bezn1","Ninjas in Pyjamas (ex)","Sage",10,66,"15.15"
