"Ign","Team","Acs","Matches"
"UmiNtyU","Mariner",186,2
"HellFull","FUSION (ex)",186,4
"BcJ","XSET (ex)",186,66
"Benecia","CNJ Esports",186,24
"gtnziN","MIBR (ex)",185,17
"MAGNUM","FNATIC (ex)",185,24
"SamuraiDeeper","Crest Gaming ZST (ex)",185,9
"SamuraiDeeper","REJECT (si)",185,1
"Danielesflo","FUSION (ex)",185,4
"Vici","Sengoku Gaming",185,4
"b3ta","Made in Thailand",185,11
"sickLy","FUSION",185,2
"mindfreak","Paper Rex",185,61
"Daicute","CERBERUS Esports (ex)",185,8
"Moves","Maru Gaming (ex)",185,32
"Apoth","Evil Geniuses",184,23
"Envy","FENNEL (ex)",184,7
"YRSelect","Griffin E-Sports (si)",184,16
"pleets","Los Grandes",184,19
"Xiaonuo","DeToNator",184,3
"BandiCoot","E-Xolos LAZER",184,16
"TENSAI","FENNEL (ex)",184,7
"L1NK","Acend (ex)",184,6
"Brinks","Gamelanders Blue (si)",184,9
"skrawl","Bonkers(OCE) (ex)",184,8
"mada","Shopify Rebellion",184,4
"Flax","Hexad (ex)",184,6
"Boaster","FNATIC",183,69
"TAMAGO","AWS (ex)",183,2
"chase","Gamelanders Blue (ex)",183,24
"adrnking","Alter Ego",183,22
"MerRy","Storks Phalanx (ex)",183,4
"sakurai","REJECT (si)",183,1
"Tio","Movistar Optix",183,27
"Junseo","Next eSports",183,3
"Melser","Leviatán (ex)",183,71
"Puleule","9z Team",182,39
"raafa","Liberty (ex)",182,11
"H1K","SchwarzerLand",182,2
"LEXY","Bleed Esports (ex)",182,27
"bnj","9z Team (si)",182,7
"Delz1k","KRÜ Esports (ex)",182,73
"gustt1nha","Los Grandes (ex)",182,19
"akashi","CERBERUS Esports (ex)",182,15
"Boo","OG LDN UTD (ex)",182,21
"Shanks","Rise (ex)",182,12
"vow","Team T5 (ex)",182,22
"mnz","IXA",182,5
"Akame","Jadeite",182,8
"gio","Movistar Optix",182,27
"micr0","South Built Esports (ex)",182,4
"Xander","FUSION",181,14
"d3ffo","M3 Champions (ex)",181,34
"glym","Liberty (ex)",181,9
"invy","Oasis Gaming (ex)",181,4
"KuuKai","Crest Gaming ZST (ex)",181,7
"LOB","FAV gaming",181,23
"arm1e","EVA:e (ex)",181,3
"JinboongE","HolyMolly (ex)",181,26
"Anguuuuu","Storks Phalanx (ex)",181,4
"poised","Rise (ex)",181,12
"TiGG","Luminosity Gaming (ex)",181,33
"reooooo","Rebellion Arts",181,2
"dephh","XSET (ex)",180,66
"ParkJJong","Team GP (ex)",180,6
"wyz","FUSION",180,14
"effys","Version1 (Inactive) (ex)",180,21
"BP","Veronica7",180,5
"PTC","FULL SENSE (ex)",180,11
"AslaN","BIG (ex)",180,25
"bmVz","Fancy United Esports (ex)",180,12
"YaBoiLewis","FOKUS",180,12
"Hyzee","Fancy United Esports (ex)",180,17
"BlackWiz","NORTHEPTION",179,40
"stellar","100 Thieves",179,42
"Tempz","No Namers (ex)",179,5
"Derialy","FENNEL (ex)",179,7
"Shuzz","SCARZ (ex)",179,5
"xeta","Cloud9 (ex)",179,30
"Alex","Next eSports (ex)",179,4
"moco","TRIDENT (ex)",179,2
"K1LLERS","Fancy United Esports (ex)",179,4
"Brofeld","Jadeite",179,8
"dazzLe","Luminosity Gaming (ex)",179,33
"Enzo","FNATIC (ex)",179,49
"flyuh","FaZe Clan (ex)",179,35
"Benkai","Paper Rex",179,61
"Swee","IXA",179,5
"supamen","Rise (ex)",178,12
"Pro","South Built Esports (ex)",177,9
"Lok1","CERBERUS Esports (ex)",177,15
"CHICHOO","EDward Gaming",177,5
"crws","XERXIA Esports (ex)",177,61
"vakk","Acend",177,24
"Wild0reoo","Oasis Gaming",177,4
"BabyJ","100 Thieves (ex)",177,5
"Hiko","100 Thieves (ex)",177,13
"Den2","Spear Gaming (ex)",177,7
"Astell","Crazy Raccoon",177,40
"leonzhett","PAMPAS (ex)",177,11
"Nyang","Gamelanders Blue",177,24
"Holbreak","EBRO Gaming (ex)",177,11
"flainzz","INGAMING Esports (ex)",177,9
