"Ign","Team","Opponents","Clutches","Clutch Failures"
"musashi","BIG (ex)",,4,36
"godko","Desperado (ex)",,6,54
"nobody","EDward Gaming",,1,9
"flippy","South Built Esports (ex)",,2,18
"Pa1n","Focus e-Sports",,1,9
"CLZ","FENNEL",,2,18
"RIA","ややーず (ex)",,1,9
"Solution","FUSION (ex)",,1,9
"SoGaTe","Tartarus (ex)",,4,36
"prozin","Sharks Esports",,1,9
"Purp0","Acend (si)",,1,9
"Misaya","Sengoku Gaming",,1,9
"disk0","ORDER (ex)",,3,28
"crow","ZETA DIVISION",,15,141
"hazed","NRG Esports (ex)",,11,104
"Brave","SuperMassive (ex)",,2,19
"krain","Liberty",,6,57
"kvzx","NAOS Esports",,2,19
"FREY","Gaimin Gladiators (ex)",,2,19
"vakk","Acend",,5,48
"pAura","BBL Esports (ex)",,5,48
"ShahZaM","Sentinels (ex)",,14,135
"flyuh","FaZe Clan (ex)",,9,87
"tuyz","TBK Esports (ex)",,6,58
"BlackWiz","NORTHEPTION",,9,87
"valyn","The Guard",,12,117
"valyn","The Guard (ex)",,12,117
"Delend","Made in Thailand (ex)",,4,39
"zeddy","Natus Vincere (ex)",,4,39
"GwangUh","Maru Gaming (ex)",,5,49
"Starxo","Acend",,7,69
"B4nnba","Pentagon",,1,10
"Majestyy","FW Esports",,1,10
"Shanks","Rise (ex)",,2,20
"Kongared","Made in Thailand",,5,50
"Kaminari","Hexad (ex)",,1,10
"leonzhett","PAMPAS (ex)",,3,30
"rubkkoide","PAMPAS (ex)",,2,20
"Akame","K2 eSports (ex)",,1,10
"nephh","Gaimin Gladiators (ex)",,1,10
"Moothie","CNJ Esports (ex)",,4,40
"jfoen","E-Xolos LAZER",,3,30
"Yun","Pentagon",,1,10
"Haodong","EDward Gaming",,1,10
"FifTy","DeToNator",,1,10
"swag","Team Vikings (ex)",,2,20
"DDcream","Pentagon",,2,20
"DxN","No Namers (ex)",,1,10
"david","PAMPAS (ex)",,1,10
"jotinha","SunXet Club (ex)",,3,30
"prince","Los Grandes (ex)",,6,62
"deLb","Alter Ego",,3,31
"shion","Liberty (ex)",,3,31
"dephh","XSET (ex)",,13,135
"wyz","FUSION",,4,42
"skuba","Knights (ex)",,5,53
"GODLIKE","World Game Star (ex)",,8,85
"Dreamas","LDN UTD (ex)",,3,32
"FNS","OpTic Gaming (ex)",,24,260
"supamen","Rise (ex)",,3,33
"EROC","EVA:e (ex)",,1,11
"BRNWOWZK1","INGAMING Esports (ex)",,1,11
"Fantasy","Team T5",,4,44
"Teerapong","FW Esports",,1,11
"Neal X","Insomnia (ex)",,1,11
"XiSTOU","SuperMassive (ex)",,3,33
"Kanpeki","Sentinels (ex)",,2,22
"DaeGi","Team GP (ex)",,1,11
"Secret","Desperado (ex)",,4,44
