"Team","Map","Comp","Picks"
"World Game Star","Ascent","Brimstone, Jett, KAY/O, Reyna, Sova",1
"World Game Star","Bind","Astra, Neon, Reyna, Sage, Skye",1
"World Game Star","Breeze","Chamber, Jett, Skye, Sova, Viper",1
"World Game Star","Haven","Astra, Jett, KAY/O, Killjoy, Sova",1
"World Game Star","Haven","Breach, Fade, Jett, Killjoy, Omen",1
"World Game Star","Haven","Breach, Fade, Omen, Raze, Reyna",1
"World Game Star","Haven","Breach, Jett, Killjoy, Omen, Sova",1
"World Game Star","Icebox","Chamber, Fade, Raze, Sage, Viper",1
"World Game Star","Split","Chamber, Jett, KAY/O, Omen, Sage",1
"XERXIA Esports","Ascent","Breach, Fade, Jett, Killjoy, Omen",1
"XERXIA Esports","Breeze","Chamber, Jett, Skye, Sova, Viper",1
"XERXIA Esports","Breeze","Cypher, Jett, KAY/O, Sova, Viper",1
"XERXIA Esports","Fracture","Breach, Brimstone, Chamber, Jett, Raze",1
"XERXIA Esports","Fracture","Breach, Chamber, Omen, Phoenix, Viper",1
"XERXIA Esports","Haven","Breach, Chamber, Neon, Omen, Skye",1
"XERXIA Esports","Icebox","Astra, Chamber, Sova, Viper, Yoru",1
"XERXIA Esports","Icebox","Chamber, Jett, Omen, Sova, Viper",1
"XERXIA Esports","Split","Breach, Chamber, Fade, Omen, Raze",1
"XERXIA Esports","Split","Breach, KAY/O, Killjoy, Omen, Raze",1
"XSET","Ascent","Brimstone, Cypher, Jett, Sage, Sova",1
"XSET","Breeze","Chamber, Jett, KAY/O, Sova, Viper",1
"XSET","Fracture","Breach, Brimstone, Chamber, Neon, Sage",1
"XSET","Fracture","Breach, Brimstone, Chamber, Raze, Sage",1
"XSET","Haven","Astra, Cypher, Jett, Skye, Sova",1
"XSET","Haven","Breach, Chamber, Fade, Omen, Raze",1
"XSET","Haven","Brimstone, Cypher, Jett, Skye, Sova",1
"XSET","Icebox","Chamber, Fade, KAY/O, Raze, Viper",1
"XSET","Icebox","Chamber, Jett, Raze, Sova, Viper",1
"XSET","Split","Astra, Breach, Chamber, Raze, Sage",1
"XSET","Split","Chamber, Omen, Raze, Sage, Viper",1
"ZETA DIVISION","Ascent","Astra, Chamber, Jett, Killjoy, Sova",1
"ZETA DIVISION","Ascent","Astra, Fade, Jett, KAY/O, Killjoy",1
"ZETA DIVISION","Ascent","Astra, Jett, KAY/O, Killjoy, Sova",1
"ZETA DIVISION","Bind","Breach, Brimstone, Jett, Raze, Skye",1
"ZETA DIVISION","Breeze","Chamber, Jett, KAY/O, Sova, Viper",1
"ZETA DIVISION","Fracture","Astra, Breach, Chamber, Jett, Raze",1
"ZETA DIVISION","Haven","Chamber, Fade, KAY/O, Neon, Omen",1
"ZETA DIVISION","Icebox","Chamber, Fade, Sage, Sova, Viper",1
"ZETA DIVISION","Pearl","Chamber, Omen, Raze, Skye, Viper",1
