"Ign","Team","Kills","Deaths","Assists","Kd"
"artn","Gaimin Gladiators (ex)",73,80,48,"0.91"
"dimasick","Team Liquid",354,388,175,"0.91"
"neptune","Rise (ex)",177,194,78,"0.91"
"Eliza","GoNGo Prince (ex)",104,114,44,"0.91"
"Felix","Brimstone (si)",92,101,61,"0.91"
"murizzz","Keyd Stars (ex)",872,958,360,"0.91"
"TENSAI","FENNEL (ex)",91,100,44,"0.91"
"hellff","Velocity Gaming",91,100,17,"0.91"
"Xandrite","NORTHEPTION (ex)",181,199,78,"0.91"
"gtnziN","MIBR (ex)",240,264,138,"0.91"
"Vici","Sengoku Gaming",50,55,10,"0.91"
"Ethan","100 Thieves (ex)",179,197,62,"0.91"
"Jady","Natus Vincere (ex)",195,215,107,"0.91"
"Wenty","GoNGo Prince (ex)",107,118,27,"0.91"
"Moves","Maru Gaming (ex)",427,471,215,"0.91"
"Nyang","Gamelanders Blue",319,352,153,"0.91"
"Muj","BBL Esports (ex)",29,32,10,"0.91"
"AvovA","G2 Esports (Inactive) (ex)",731,807,416,"0.91"
"Xiaonuo","DeToNator",48,53,20,"0.91"
"deigara","9z Team",523,578,242,"0.90"
"Yso","TRIDENT (ex)",28,31,3,"0.90"
"crow","ZETA DIVISION",746,826,388,"0.90"
"Rabbet","Rex Regum Qeon",93,103,43,"0.90"
"SEVERiNE","Onic Esports (ex)",528,585,312,"0.90"
"D1E","Meta Gaming (ex)",148,164,42,"0.90"
"brawk","Ghost Gaming (ex)",184,204,116,"0.90"
"Flax","Hexad (ex)",73,81,31,"0.90"
"bmVz","Fancy United Esports (ex)",154,171,70,"0.90"
"Learica","TRIDENT (ex)",27,30,4,"0.90"
"micr0","South Built Esports (ex)",53,59,27,"0.90"
"Duno","Natus Vincere (ex)",466,519,310,"0.90"
"flyuh","FaZe Clan (ex)",491,547,230,"0.90"
"NANZIN","INGAMING Esports (ex)",131,146,57,"0.90"
"Hiko","100 Thieves (ex)",165,184,93,"0.90"
"MqsaaV","Mariner",26,29,2,"0.90"
"Ijin","Storks Phalanx (ex)",60,67,17,"0.90"
"pr0xy","Spear Gaming (ex)",411,459,94,"0.90"
"10X","HolyMolly (ex)",351,392,112,"0.90"
"Maverick","Stars Horizon (ex)",111,124,50,"0.90"
"Phantom","FAV gaming",280,313,110,"0.89"
"koldamenta","Guild Esports",700,784,445,"0.89"
"gob b","BIG (ex)",173,194,79,"0.89"
"bucher","FOKUS (ex)",164,184,50,"0.89"
"L1NK","Acend (ex)",82,92,48,"0.89"
"PTC","FULL SENSE (ex)",145,163,94,"0.89"
"Kakarot","NAOS Esports",80,90,39,"0.89"
"sakurai","REJECT (si)",16,18,5,"0.89"
"Boo","OG LDN UTD (ex)",295,332,150,"0.89"
"diewijAs","PAMPAS (ex)",149,168,42,"0.89"
"AYRIN","XSET (ex)",836,943,447,"0.89"
"EROC","EVA:e (ex)",39,44,28,"0.89"
"kurozooted","Reignite",124,140,47,"0.89"
"Darker","FUSION",54,61,21,"0.89"
"MAGNUM","FNATIC (ex)",315,356,127,"0.88"
"Boaster","FNATIC",894,1011,581,"0.88"
"gaabxx","Sharks Esports (ex)",129,146,28,"0.88"
"YRSelect","Griffin E-Sports (si)",204,231,86,"0.88"
"vow","Team T5 (ex)",284,322,69,"0.88"
"lukzera","TBK Esports",499,567,279,"0.88"
"flainzz","INGAMING Esports (ex)",124,141,37,"0.88"
"2GE","Rex Regum Qeon",100,114,67,"0.88"
"pleets","Los Grandes",242,276,144,"0.88"
"PapiChulo","South Built Esports (ex)",128,146,36,"0.88"
"marin","SCARZ (ex)",71,81,47,"0.88"
"Apinya","FW Esports (ex)",71,81,34,"0.88"
"NcSlasher","Onic Esports (ex)",505,577,313,"0.88"
"zepher","Crest Gaming ZST (si)",14,16,3,"0.88"
"Sơn KeKe","Fancy United Esports (ex)",160,183,72,"0.87"
"zeek","Acend (ex)",381,436,207,"0.87"
"Dreamas","LDN UTD (ex)",149,171,40,"0.87"
"Genghsta","Knights (ex)",215,247,127,"0.87"
"arm1e","EVA:e (ex)",47,54,10,"0.87"
"NicoMachine","Meta Gaming (ex)",140,161,62,"0.87"
"jEEE","NAOS Esports",80,92,26,"0.87"
"Addicted","Sharks Esports (ex)",112,129,61,"0.87"
"C1nder","SCARZ (ex)",72,83,18,"0.87"
"blurred","NAOS Esports",85,98,28,"0.87"
