"Ign","Team","Headshot %","Bodyshot %","Legshot %","Matches"
"Purp0","Acend (si)","33.62","53.98","12.38",3
"Wenty","GoNGo Prince (ex)","33.55","63.42","3.02",7
"Derrek","100 Thieves","33.49","61.71","4.78",42
"alyaL","CERBERUS Esports (ex)","33.33","61.90","4.76",7
"Xiaonuo","DeToNator","33.33","61.36","5.30",3
"YaBoiDre","Evil Geniuses (ex)","33.25","61.38","5.35",12
"Derrek","Rise (ex)","33.02","60.96","6.00",12
"GOLD","Desperado (ex)","32.99","63.97","3.03",15
"iNTRO","DAMWON Gaming (ex)","32.98","64.94","2.06",8
"Haodong","EDward Gaming","32.96","59.89","7.14",5
"H1K","SchwarzerLand","32.89","61.84","5.26",2
"SUYGETSU","FunPlus Phoenix (ex)","32.79","61.39","5.80",85
"JitboyS","FW Esports (ex)","32.78","65.56","1.65",5
"Akame","K2 eSports (ex)","32.69","62.50","4.80",2
"pdr","INGAMING Esports (ex)","32.65","62.42","4.91",9
"Lmemore","Onic Esports (ex)","32.63","63.08","4.28",38
"Redgar","M3 Champions","32.54","60.76","6.69",47
"Suggest","DetonatioN Gaming White (ex)","32.40","58.33","9.25",4
"reooooo","Rebellion Arts","32.39","64.78","2.81",2
"supamen","FaZe Clan","32.36","63.32","4.30",37
"GLAB zey","NAOS Esports (ex)","32.35","66.17","1.47",2
"L1NK","Team Liquid (ex)","32.35","62.23","5.40",38
"WRONSKI","ORDER (ex)","32.31","63.09","4.59",16
"takej","REJECT (ex)","32.28","61.10","6.61",31
"bmVz","Fancy United Esports (ex)","32.27","61.59","6.13",12
"sakurai","Crest Gaming ZST (ex)","32.25","64.51","3.22",2
"Bonecold","Acend (ex)","32.19","58.50","9.29",13
"gMd","TSM (ex)","32.18","61.53","6.27",10
"coco","Oasis Gaming","32.12","60.00","7.87",4
"heat","Keyd Stars (ex)","32.09","62.80","5.10",60
"rion","Crazy Raccoon","32.01","65.23","2.75",14
"KuuKai","Crest Gaming ZST (ex)","32.01","64.02","3.95",7
"SSeeS","DetonatioN Gaming White (ex)","32.00","64.00","4.00",3
"Wenty","Tartarus (ex)","31.98","64.39","3.62",14
"Hate","Jadeite (ex)","31.95","58.76","9.27",4
"Frosty","Knights (ex)","31.85","63.52","4.62",17
"deigara","9z Team","31.85","62.17","5.96",39
"Redgar","M3 Champions (ex)","31.84","60.90","7.24",34
"pr0xy","Spear Gaming (ex)","31.83","64.54","3.61",30
"skuba","Knights (ex)","31.79","63.87","4.33",17
"Smoggy","EDward Gaming","31.78","63.56","4.65",3
"YaBoiLewis","FOKUS","31.74","60.04","8.20",12
"pho","Evil Geniuses (ex)","31.65","62.84","5.50",12
"BP","Veronica7","31.60","60.34","8.04",5
"Russ","Guild Esports (ex)","31.59","60.87","7.52",47
"Brave","SuperMassive (ex)","31.49","66.05","2.45",11
"olzerr","PAMPAS (ex)","31.45","63.42","5.11",11
"Jady","M3 Champions","31.39","65.81","2.79",12
"ParkJJong","Tartarus (ex)","31.39","64.34","4.26",14
"trent","The Guard","31.23","62.34","6.41",55
"JinboongE","HolyMolly (ex)","31.19","59.91","8.88",26
"SiuFatBB","Griffin E-Sports","31.14","65.78","3.07",16
"nAts","M3 Champions (ex)","31.02","64.40","4.57",47
"Fung3","Griffin E-Sports","31.01","63.84","5.14",16
"GangPin","Sengoku Gaming (ex)","30.98","65.49","3.52",7
"K1LLERS","Fancy United Esports (ex)","30.93","58.99","10.07",4
"Kant","VPZ (ex)","30.92","61.18","7.89",4
"LOB","FAV gaming","30.89","65.38","3.71",23
"ringring","CNJ Esports","30.86","63.91","5.21",6
"D1E","Meta Gaming (ex)","30.85","65.15","3.98",10
"NoriseN","REJECT (ex)","30.82","65.03","4.14",21
"iNTRO","DAMWON Gaming (si)","30.73","63.92","5.33",22
"ScreaM","Team Liquid (ex)","30.61","64.26","5.11",75
"Luke","World Game Star","30.60","63.96","5.42",54
"Turko","BBL Esports","30.57","67.04","2.37",24
"xeta","Cloud9 (si)","30.52","65.26","4.21",2
"frostmind","BOOM Esports (ex)","30.50","66.98","2.51",27
"Twinte","looking for a name (ex)","30.43","65.21","4.34",2
"Poach","FaZe Clan (ex)","30.43","59.42","10.14",2
"ANGE1","FunPlus Phoenix (ex)","30.42","62.55","7.01",85
"azys","South Built Esports (ex)","30.32","65.93","3.73",11
