"Ign","Team","Headshots"
"micr0","South Built Esports (ex)","40"
"Blas","NAOS Esports","39"
"Darker","FUSION","39"
"munghoon","VPZ","39"
"Lumo","Insomnia (ex)","39"
"Ijin","Storks Phalanx (ex)","38"
"arm1e","EVA:e (ex)","38"
"Vici","Sengoku Gaming","38"
"Purp0","Acend (si)","38"
"Wild0reoo","Oasis Gaming","37"
"Rico","EVA:e (ex)","37"
"EROC","EVA:e (ex)","37"
"Zerost","Sengoku Gaming","36"
"Jan","Next eSports","36"
"MerRy","Storks Phalanx (ex)","36"
"Marmelo","Jadeite","36"
"KappA","Global Esports","36"
"DxN","No Namers (ex)","34"
"FuriousMeow","Oblivion Force","34"
"Junseo","Next eSports","34"
"Akame","K2 eSports (ex)","34"
"SSeeS","DetonatioN Gaming White (ex)","32"
"hypathor","Oblivion Force","32"
"Danielesflo","FUSION (ex)","32"
"yoman","Next eSports (ex)","32"
"FifTy","DeToNator","32"
"Marky","Oasis Gaming","32"
"something","Sengoku Gaming","32"
"HellFull","FUSION (ex)","32"
"Kei","looking for a name","31"
"hatty","ややーず (ex)","31"
"Wonjina","Next eSports","31"
"Skyfull","DeToNator (ex)","30"
"skyeSG","No Namers (ex)","30"
"AlKawai","Insomnia (ex)","30"
"Haxball","VPZ","30"
"JREXXX","Insomnia (ex)","29"
"Lily","EVA:e","29"
"Melofovia","DetonatioN Gaming White (ex)","29"
"xeta","Cloud9 (si)","29"
"Paint","Insomnia (ex)","28"
"Twinte","looking for a name (ex)","28"
"AztKk","FUSION (ex)","28"
"Alex","Next eSports (ex)","28"
"ParkJJong","Tartarus (si)","28"
"Solution","FUSION (ex)","27"
"CyderX","BBL Esports (si)","27"
"CHIMEI","Oblivion Force","27"
"M4sh","EVA:e (ex)","27"
"RIA","ややーず (ex)","26"
"MqsaaV","Mariner","25"
"H1K","SchwarzerLand","25"
"こころん","looking for a name","25"
"Neal X","Insomnia (ex)","25"
"GwangUh","Tartarus (si)","23"
"pippi","Rebellion Arts","23"
"Life","EDward Gaming (ex)","23"
"SoGaTe","Tartarus (si)","23"
"reooooo","Rebellion Arts","23"
"GLAB zey","NAOS Esports (ex)","22"
"Leazo","9z Team","22"
"sickLy","FUSION","22"
"Learica","TRIDENT (ex)","22"
"MuuShock","Rebellion Arts","21"
"Valll","Focus e-Sports (ex)","21"
"Poach","FaZe Clan (ex)","21"
"Creative","GoNGo Prince","20"
"sakurai","Crest Gaming ZST (ex)","20"
"Ripper","Oasis Gaming","20"
"UmiNtyU","Mariner","20"
"Meimoo","Rebellion Arts","20"
"silver","K2 eSports (ex)","20"
"Ludens","K2 eSports (ex)","19"
"pouoxo","TRIDENT (ex)","19"
"Anna","Next eSports (ex)","19"
"shura","Focus e-Sports","19"
"Reita","Crest Gaming ZST (si)","19"
"kobra","Crest Gaming ZST","19"
"cuda","GyoGun (ex)","18"
"Wenty","Tartarus (si)","18"
"2KY","SchwarzerLand","18"
"Sacchi","SchwarzerLand","18"
"Defectio","ややーず (ex)","18"
"takej","Crest Gaming ZST (si)","18"
"RELAXING","TRIDENT (ex)","17"
