"Ign","Team","Plants"
"Ripper","Oasis Gaming","2"
"deLb","Alter Ego","2"
"Jemkin","Crest Gaming ZST (ex)","2"
"sakurai","Hexad (ex)","2"
"sakurai","REJECT (si)","2"
"jzz","MIBR","2"
"keloqz","G2 Esports (Inactive) (ex)","2"
"Zerost","BLUE BEES.ESP (ex)","2"
"azys","South Built Esports (ex)","2"
"blurred","NAOS Esports","2"
"flainzz","Stars Horizon","2"
"kellyS","Rex Regum Qeon (ex)","2"
"rDeeW","Bonkers(OCE) (ex)","2"
"Alex","Next eSports (ex)","2"
"Tuli","9z Team (si)","2"
"Siro","looking for a name (ex)","2"
"azuma","K2 eSports (ex)","2"
"GangPin","Sengoku Gaming (ex)","2"
"FREY","Gaimin Gladiators (ex)","2"
"Anthem","SCARZ (ex)","2"
"Luna","IXA","2"
"Suggest","DetonatioN Gaming White (ex)","2"
"Fisker","FAV gaming (ex)","2"
"SungJin","CNJ Esports (ex)","2"
"artzin","Stars Horizon (ex)","2"
"Leazo","9z Team","2"
"ParkJJong","Tartarus (si)","2"
"yoman","Next eSports (ex)","2"
"Lily","EVA:e","2"
"RELAXING","TRIDENT (ex)","2"
"Lumo","Insomnia (ex)","2"
"H1BER","FNATIC (si)","2"
"Leo","SYSTEM e-Sports","2"
"hsk","DetonatioN Gaming White","2"
"mittiii","FENNEL (ex)","2"
"Anna","Next eSports (ex)","1"
"Lore","Focus e-Sports (ex)","1"
"Marky","Oasis Gaming","1"
"Kiuuuu","Oblivion Force","1"
"Ran","SETOUCHI ENLIFE (ex)","1"
"killua","FW Esports","1"
"cuda","GyoGun (ex)","1"
"SkRossi","Global Esports","1"
"hiyokomaru","SYSTEM e-Sports","1"
"Vera","No Namers (ex)","1"
"Muj","BBL Esports (ex)","1"
"reooooo","Rebellion Arts","1"
"DaeGi","Tartarus (ex)","1"
"Akame","K2 eSports (ex)","1"
"MuuShock","Rebellion Arts","1"
"Reita","Crest Gaming ZST (si)","1"
"Machao","DetonatioN Gaming White (ex)","1"
"hatty","ややーず (ex)","1"
"NoMan","Oblivion Force (ex)","1"
"tinggg2k5","CERBERUS Esports","1"
"Brofeld","Hexad (ex)","1"
"sakurai","Crest Gaming ZST (ex)","1"
"Pay","Veronica7 (ex)","1"
"Puupop","Mariner","1"
"MqsaaV","Mariner","1"
"REV1","Pentagon","1"
"KadosuK","GyoGun (ex)","1"
"UmiNtyU","Mariner","1"
"BabyJ","100 Thieves (ex)","1"
"Lightningfast","Global Esports","1"
"Purp0","M3 Champions (ex)","1"
